Seconds,IcoFace,Stereopsis,6DoF,SpatialAudio,HighResolution,AltColour,EyeTrackingOrigin_X,EyeTrackingOrigin_Y,EyeTrackingOrigin_Z,EyeTrackingTarget_X,EyeTrackingTarget_Y,EyeTrackingTarget_Z,1/31/2023 7:24:57 PM
110.162595114,11,1,0,1,0,0,0.03658688,1.726926,0.01046831,0.3519409,-0.06941643,0.9334447,1/31/2023 7:24:57 PM
110.166565948,11,1,0,1,0,0,0.03658688,1.726926,0.01046831,0.3519409,-0.06941643,0.9334447,1/31/2023 7:24:57 PM
110.168032771,11,1,0,1,0,0,0.03658688,1.726926,0.01046831,0.3519409,-0.06941643,0.9334447,1/31/2023 7:24:57 PM
110.190511677,11,1,0,1,0,0,0.0391494,1.727045,0.01006796,0.3542913,-0.07111993,0.9324268,1/31/2023 7:24:57 PM
110.207828448,11,1,0,1,0,0,0.03907959,1.727021,0.01016903,0.3527508,-0.07157836,0.9329756,1/31/2023 7:24:57 PM
110.233141833,11,1,0,1,0,0,0.03883118,1.726976,0.010443,0.3497471,-0.06898008,0.9343012,1/31/2023 7:24:57 PM
110.247446,11,1,0,1,0,0,0.03643358,1.726836,0.01097526,0.3532382,-0.06221577,0.9334623,1/31/2023 7:24:57 PM
110.273407823001,11,1,0,1,0,0,0.03432916,1.726672,0.0115322,0.3538184,-0.06648346,0.9329483,1/31/2023 7:24:57 PM
110.288812406,11,1,0,1,0,0,0.0370282,1.726843,0.01108072,0.353379,-0.06782436,0.9330183,1/31/2023 7:24:57 PM
110.315525843001,11,1,0,1,0,0,0.03809068,1.726939,0.01094638,0.3554858,-0.06204046,0.9326204,1/31/2023 7:24:57 PM
110.329836156,11,1,0,1,0,0,0.0389344,1.727001,0.01080339,0.3594342,-0.05932752,0.9312826,1/31/2023 7:24:57 PM
110.357102979,11,1,0,1,0,0,0.04067725,1.727101,0.01055186,0.3600511,-0.07211708,0.930141,1/31/2023 7:24:57 PM
110.373464906,11,1,0,1,0,0,0.0406345,1.727101,0.01059079,0.3592447,-0.07214054,0.9304509,1/31/2023 7:24:57 PM
110.38795975,11,1,0,1,0,0,0.04068176,1.727102,0.01059966,0.3533454,-0.06229483,0.9334165,1/31/2023 7:24:57 PM
110.413474645,11,1,0,1,0,0,0.04061842,1.727068,0.01070273,0.3599584,-0.06369539,0.9307915,1/31/2023 7:24:57 PM
110.427460531,11,1,0,1,0,0,0.03991349,1.726995,0.01089936,0.3571548,-0.06288307,0.9319261,1/31/2023 7:24:57 PM
110.454939854,11,1,0,1,0,0,0.03767973,1.726802,0.01143487,0.3512305,-0.06461882,0.9340565,1/31/2023 7:24:57 PM
110.469670323,11,1,0,1,0,0,0.03556086,1.726645,0.01188409,0.3506107,-0.06481262,0.9342759,1/31/2023 7:24:57 PM
110.496009593,11,1,0,1,0,0,-0.006927051,1.723738,0.02009514,0.2194829,-0.05718054,0.9739392,1/31/2023 7:24:57 PM
110.511045895,11,1,0,1,0,0,0.03756579,1.726489,0.01256972,0.1591155,-0.06781558,0.9849281,1/31/2023 7:24:57 PM
110.53979527,11,1,0,1,0,0,0.03448116,1.726411,0.01293214,0.06238315,-0.08024842,0.9948208,1/31/2023 7:24:57 PM
110.553772406,60,1,0,1,0,0,0.03252343,1.726265,0.01322112,-0.0473517,-0.09274898,0.9945629,1/31/2023 7:24:57 PM
110.567302562,60,1,0,1,0,0,0.03236567,1.726212,0.01327522,-0.1390943,-0.1064206,0.9845443,1/31/2023 7:24:57 PM
110.594233604,60,1,0,1,0,0,0.03202334,1.72608,0.01364567,-0.2204396,-0.1302383,0.9666666,1/31/2023 7:24:57 PM
110.608197197,60,1,0,1,0,0,0.03345399,1.726172,0.01376652,-0.2204183,-0.1290163,0.9668353,1/31/2023 7:24:57 PM
110.640321,60,1,0,1,0,0,0.0332853,1.726221,0.01451232,-0.2293901,-0.1387268,0.9633977,1/31/2023 7:24:57 PM
