Seconds,IcoFace,Stereopsis,6DoF,SpatialAudio,HighResolution,AltColour,EyeTrackingOrigin_X,EyeTrackingOrigin_Y,EyeTrackingOrigin_Z,EyeTrackingTarget_X,EyeTrackingTarget_Y,EyeTrackingTarget_Z,5/12/2023 2:23:30 PM
124.49771615,48,1,0,0,1,1,-0.03722102,1.729369,-0.006923986,-0.8394241,0.08850804,0.5362215,5/12/2023 2:23:30 PM
124.502037765,48,1,0,0,1,1,-0.03722102,1.729369,-0.006923986,-0.8394241,0.08850804,0.5362215,5/12/2023 2:23:30 PM
124.510546358,48,1,0,0,1,1,-0.03891906,1.729158,-0.009319974,-0.8387145,0.08708537,0.5375634,5/12/2023 2:23:30 PM
124.537331567,48,1,0,0,1,1,-0.05756334,1.72616,-0.0382035,-0.8179494,0.08679822,0.5687045,5/12/2023 2:23:30 PM
124.55175016,48,1,0,0,1,1,-0.05833291,1.726003,-0.03934549,-0.8087151,0.07685529,0.583158,5/12/2023 2:23:30 PM
124.5789399,48,1,0,0,1,1,-0.05874831,1.725903,-0.03929438,-0.7937306,0.1026764,0.5995411,5/12/2023 2:23:30 PM
124.593237192,48,1,0,0,1,1,-0.05895998,1.725802,-0.03908209,-0.7987307,0.08455337,0.5957182,5/12/2023 2:23:30 PM
124.621246254,48,1,0,0,1,1,-0.05941798,1.725527,-0.03813227,-0.7848189,0.08536673,0.6138173,5/12/2023 2:23:30 PM
124.635667296,48,1,0,0,1,1,-0.0596113,1.725398,-0.03741276,-0.7818019,0.08203853,0.6181065,5/12/2023 2:23:30 PM
124.649710837,48,1,0,0,1,1,-0.05793156,1.725538,-0.03406545,-0.7934025,0.0919601,0.6017109,5/12/2023 2:23:30 PM
124.676485733,10,1,0,0,1,1,-0.02943009,1.728924,0.008208318,-0.7802377,-0.03552815,0.6244733,5/12/2023 2:23:30 PM
124.690289171,10,1,0,0,1,1,-0.0229544,1.729046,0.01762634,-0.7612599,-0.1765794,0.6239418,5/12/2023 2:23:30 PM
124.719035212,10,1,0,0,1,1,-0.0634593,1.725585,0.009355664,-0.7872065,-0.01068425,0.6165971,5/12/2023 2:23:30 PM
124.734044952,10,1,0,0,1,1,-0.0637214,1.723833,0.01213098,-0.7736298,-0.03327843,0.6327634,5/12/2023 2:23:30 PM
124.760097139,10,1,0,0,1,1,-0.0642506,1.719645,0.01805329,-0.7410483,-0.08487889,0.6660653,5/12/2023 2:23:30 PM
124.77457891,10,1,0,0,1,1,-0.06446386,1.717227,0.02114904,-0.7223904,-0.1133967,0.6821242,5/12/2023 2:23:30 PM
124.789496306,79,1,0,0,1,1,-0.02345782,1.717658,0.03156943,-0.5622696,-0.5513569,0.6163267,5/12/2023 2:23:30 PM
124.815368494,79,1,0,0,1,1,-0.02355763,1.713162,0.03577304,-0.4813881,-0.5995016,0.6394243,5/12/2023 2:23:30 PM
124.829816723,79,1,0,0,1,1,-0.02329744,1.710745,0.03803514,-0.446932,-0.6169013,0.6478307,5/12/2023 2:23:30 PM
124.857565681,79,1,0,0,1,1,-0.02310226,1.705799,0.04196526,-0.3630978,-0.6830412,0.6337309,5/12/2023 2:23:30 PM
124.872328858,78,1,0,0,1,1,-0.02287548,1.703454,0.04388829,-0.3313455,-0.7060096,0.6259079,5/12/2023 2:23:30 PM
